MissingRate,Repeat,Seed,Mean,Median,ClinDiff-Lite,ClinDiff-Gated,Mean Liver Avg,ClinDiff-Lite Liver Avg,ClinDiff-Gated Liver Avg,Grouped Usage Rate,Masked Observed Cells,Masked Headline Cells,Masked Liver Cells
40%,47,2472,168.10403970220656,184.77454258780315,166.82848326131304,165.4394310895098,169.98070600288682,164.21537521761726,163.08508081133354,0.4835960801022582,4911,4046,2331
40%,48,2473,171.9028852136114,185.25027763198804,170.28108869547142,168.9207670041335,171.85821865514586,164.86808890980717,163.65970635813133,0.4997869620792501,4813,3936,2247
40%,49,2474,188.5135947706389,205.9259803689649,187.5555349767899,186.2447932937116,193.77334403394522,188.1344379830714,186.99368063882116,0.48615253515125695,4909,4003,2287
40%,50,2475,189.2357798907011,203.48495789189417,187.50697099219587,186.1849425582598,186.79435315179057,179.2488843310272,178.28602491050378,0.4933958244567533,4959,4031,2270
40%,51,2476,172.7347974345932,187.37583603347036,171.96157592238114,171.47783184116162,181.63543823390725,176.73474756083772,176.24605468144125,0.489987217724755,4855,3984,2263
40%,52,2477,168.06576143116996,186.5340665697294,165.97257732286496,162.75790206979025,167.38456834821903,158.47171394836673,155.81126837976254,0.4972305070302514,4835,3951,2277
40%,53,2478,178.6046865125959,193.95632929463562,177.27966674391757,175.35212558503684,180.0895306071419,174.90995916950305,173.22737092613093,0.48828291435875587,4935,4030,2301
40%,54,2479,175.15635409457283,192.18221445973984,173.96526279647054,173.54433924270214,177.5359862600577,172.03616896517113,171.58358012679324,0.4878568385172561,4903,4022,2273
40%,55,2480,172.13087249932758,188.90744729171462,170.6123404076108,167.33715171463663,176.75601056190683,170.86458909111138,168.23645075703345,0.4933958244567533,4882,3979,2293
40%,56,2481,193.9603049123015,209.6841352941688,194.27834992026743,195.00267250782062,193.70261288124388,188.95475262223644,189.4427142344778,0.49637835534725183,4818,3950,2293
40%,57,2482,187.46663775154596,201.6736524402488,186.38656486787954,182.7368676521826,185.89769475474256,180.93021407436254,178.2237598975097,0.49850873455475075,4818,3944,2232
40%,58,2483,172.92519337274337,190.3492976791512,171.580774010632,170.55336532574677,175.58728102962507,169.5282561073976,168.59969038983928,0.4870046868342565,4863,4008,2296
40%,59,2484,158.29997711860153,172.30520961510493,156.81636062213758,155.08279256945153,163.01941589593613,156.219726964052,154.43825774733818,0.48828291435875587,4829,3998,2263
40%,60,2485,197.89926158583154,212.42878601497813,196.02391530527504,193.5837171174589,196.3921730011806,189.125959672873,187.18339645645722,0.48913506604175544,4838,3968,2285
40%,61,2486,205.8380876763526,220.7006307345607,206.1414900888538,206.84559428928281,197.45064083401817,191.52693725997392,192.14893822658473,0.49169152109075415,4768,3950,2269
40%,62,2487,170.40962337888317,186.26806418622533,168.51260392372814,166.68583977075025,178.89572035869045,172.212521669352,170.77195864146623,0.4976565828717512,4886,3978,2218
40%,63,2488,168.91185642392514,186.72608096809364,167.60045796343334,166.71782925380154,165.734644691348,159.50053863176788,158.9977706509014,0.4908393694077546,4878,4021,2311
40%,64,2489,171.97095220709141,185.50840605053872,170.74689112457975,166.55706119556694,178.29913263043758,173.09401179405222,169.82815025403005,0.4908393694077546,4893,3997,2240
40%,65,2490,207.3193800522566,221.81131707783976,205.79839175379482,203.80526659284874,205.15217216616045,198.06775226860012,196.63102042301773,0.4904132935662548,4896,4020,2294
